file,bytes,overall,productive
AbstractAccessTask.java,3667,146040973,91812756
AbstractAccessTask.java,3667,18760198,6195357
AbstractAccessTask.java,3667,14933197,6314901
AbstractAccessTask.java,3667,15591581,4539427
AbstractAccessTask.java,3667,24742432,5015675
AbstractAccessTask.java,3667,22664840,4987130
AbstractAccessTask.java,3667,19510012,6362510
AbstractAccessTask.java,3667,26637353,5574199
AbstractAccessTask.java,3667,15351252,3895355
AbstractAccessTask.java,3667,16695207,3633259
AbstractAnalyzer.java,10167,37081514,16831590
AbstractAnalyzer.java,10167,46004554,24002550
AbstractAnalyzer.java,10167,28844210,11208149
AbstractAnalyzer.java,10167,25900531,10412448
AbstractAnalyzer.java,10167,38572333,6418208
AbstractAnalyzer.java,10167,36737711,6045524
AbstractAnalyzer.java,10167,29631985,7094260
AbstractAnalyzer.java,10167,35642431,7396301
AbstractAnalyzer.java,10167,29385827,5854183
AbstractAnalyzer.java,10167,33078764,6173244
AbstractClasspathResource.java,8619,49191950,6274515
AbstractClasspathResource.java,8619,33478206,4574197
AbstractClasspathResource.java,8619,39998226,5105284
AbstractClasspathResource.java,8619,34071987,4434778
AbstractClasspathResource.java,8619,32919823,4135438
AbstractClasspathResource.java,8619,33934560,4068735
AbstractClasspathResource.java,8619,35829720,6231067
AbstractClasspathResource.java,8619,23103471,4099300
AbstractClasspathResource.java,8619,36344250,4257483
AbstractClasspathResource.java,8619,16267931,2084393
AbstractCvsTask.java,25299,93731630,13562262
AbstractCvsTask.java,25299,66109890,10822257
AbstractCvsTask.java,25299,77731678,24981763
AbstractCvsTask.java,25299,54556386,9301308
AbstractCvsTask.java,25299,77083011,8476525
AbstractCvsTask.java,25299,83846078,7422420
AbstractCvsTask.java,25299,87243844,14078297
AbstractCvsTask.java,25299,94821732,7547925
AbstractCvsTask.java,25299,67472079,5850390
AbstractCvsTask.java,25299,59319696,6111499
AbstractFileSet.java,29242,68412355,7448033
AbstractFileSet.java,29242,77268875,6897100
AbstractFileSet.java,29242,78077217,8083950
AbstractFileSet.java,29242,60372476,7571985
AbstractFileSet.java,29242,71544133,7334902
AbstractFileSet.java,29242,85327732,5810188
AbstractFileSet.java,29242,68719571,7056496
AbstractFileSet.java,29242,62684444,7593622
AbstractFileSet.java,29242,95060524,7637708
AbstractFileSet.java,29242,81403505,14488663
AbstractHotDeploymentTool.java,6575,35871845,2484764
AbstractHotDeploymentTool.java,6575,12502981,1739598
AbstractHotDeploymentTool.java,6575,25824160,2833682
AbstractHotDeploymentTool.java,6575,10318610,2934638
AbstractHotDeploymentTool.java,6575,13721077,2806439
AbstractHotDeploymentTool.java,6575,9793844,924706
AbstractHotDeploymentTool.java,6575,12103203,1562111
AbstractHotDeploymentTool.java,6575,9803057,1187104
AbstractHotDeploymentTool.java,6575,8756889,1471103
AbstractHotDeploymentTool.java,6575,14034830,2688357
AbstractJarSignerTask.java,11947,53499995,5478045
AbstractJarSignerTask.java,11947,32867824,7120818
AbstractJarSignerTask.java,11947,31984489,4737218
AbstractJarSignerTask.java,11947,32246026,7988682
AbstractJarSignerTask.java,11947,22563665,3954310
AbstractJarSignerTask.java,11947,21547183,4263238
AbstractJarSignerTask.java,11947,21894712,4322341
AbstractJarSignerTask.java,11947,23869485,3903788
AbstractJarSignerTask.java,11947,23941892,3900678
AbstractJarSignerTask.java,11947,24669578,3174747
AbstractResourceCollectionWrapper.java,6516,13374739,2737466
AbstractResourceCollectionWrapper.java,6516,16062277,2343420
AbstractResourceCollectionWrapper.java,6516,14594694,2144728
AbstractResourceCollectionWrapper.java,6516,13340306,1590970
