file,bytes,overall,productive
AbstractAccessTask.java,3667,149162518,97406121
AbstractAccessTask.java,3667,23526057,8265327
AbstractAccessTask.java,3667,23172657,9416717
AbstractAccessTask.java,3667,20206555,6660532
AbstractAccessTask.java,3667,23328336,7431776
AbstractAccessTask.java,3667,22438017,7949687
AbstractAccessTask.java,3667,18194822,8413880
AbstractAccessTask.java,3667,23660667,5115177
AbstractAccessTask.java,3667,19417527,4390219
AbstractAccessTask.java,3667,16877871,4965378
AbstractAnalyzer.java,10167,47037413,20201166
AbstractAnalyzer.java,10167,56617574,29162498
AbstractAnalyzer.java,10167,39667605,16431718
AbstractAnalyzer.java,10167,36852835,9694427
AbstractAnalyzer.java,10167,31750844,8541344
AbstractAnalyzer.java,10167,28964046,9257226
AbstractAnalyzer.java,10167,67385593,7468563
AbstractAnalyzer.java,10167,34903346,8412687
AbstractAnalyzer.java,10167,31919209,7855525
AbstractAnalyzer.java,10167,29455210,6969618
AbstractClasspathResource.java,8619,49015211,7399509
AbstractClasspathResource.java,8619,29683651,5478501
AbstractClasspathResource.java,8619,32203471,5478443
AbstractClasspathResource.java,8619,39106645,5198381
AbstractClasspathResource.java,8619,28552878,5186397
AbstractClasspathResource.java,8619,35361905,5199650
AbstractClasspathResource.java,8619,44099281,5597982
AbstractClasspathResource.java,8619,35600167,5184508
AbstractClasspathResource.java,8619,46877859,5343433
AbstractClasspathResource.java,8619,32916001,6780271
AbstractCvsTask.java,25299,86231599,12115152
AbstractCvsTask.java,25299,86570014,15532638
AbstractCvsTask.java,25299,87864356,29838916
AbstractCvsTask.java,25299,78281241,10590891
AbstractCvsTask.java,25299,64768024,10280657
AbstractCvsTask.java,25299,95159657,13817798
AbstractCvsTask.java,25299,84864300,12029105
AbstractCvsTask.java,25299,104124276,12618451
AbstractCvsTask.java,25299,72942624,7776329
AbstractCvsTask.java,25299,78465867,7510791
AbstractFileSet.java,29242,100382537,12496227
AbstractFileSet.java,29242,74463058,8031051
AbstractFileSet.java,29242,87582290,7784644
AbstractFileSet.java,29242,60819298,7870294
AbstractFileSet.java,29242,79366956,9157942
AbstractFileSet.java,29242,59149938,8039789
AbstractFileSet.java,29242,75267341,7845108
AbstractFileSet.java,29242,70773056,8203031
AbstractFileSet.java,29242,110520418,9492119
AbstractFileSet.java,29242,71756949,10351626
AbstractHotDeploymentTool.java,6575,13126659,3489517
AbstractHotDeploymentTool.java,6575,12353028,2238423
AbstractHotDeploymentTool.java,6575,13769741,2295555
AbstractHotDeploymentTool.java,6575,36796812,1971492
AbstractHotDeploymentTool.java,6575,12614282,1963597
AbstractHotDeploymentTool.java,6575,10929203,1955292
AbstractHotDeploymentTool.java,6575,13356316,1976183
AbstractHotDeploymentTool.java,6575,13722833,2189242
AbstractHotDeploymentTool.java,6575,13619558,2468683
AbstractHotDeploymentTool.java,6575,10785692,1711413
AbstractJarSignerTask.java,11947,34256631,5317788
AbstractJarSignerTask.java,11947,30928457,5160446
AbstractJarSignerTask.java,11947,34926872,6025977
AbstractJarSignerTask.java,11947,47040863,3819191
AbstractJarSignerTask.java,11947,33772534,5132202
AbstractJarSignerTask.java,11947,27209153,4875845
AbstractJarSignerTask.java,11947,24861427,4263909
AbstractJarSignerTask.java,11947,24880915,4032188
AbstractJarSignerTask.java,11947,41030143,2888476
AbstractJarSignerTask.java,11947,23664833,2890211
AbstractResourceCollectionWrapper.java,6516,12626890,1285847
AbstractResourceCollectionWrapper.java,6516,15387291,2168732
AbstractResourceCollectionWrapper.java,6516,13016298,1152497
AbstractResourceCollectionWrapper.java,6516,14655576,1763809
AbstractResourceCollectionWrapper.java,6516,13822628,1682185
AbstractResourceCollectionWrapper.java,6516,16422785,1783185
AbstractResourceCollectionWrapper.java,6516,13019493,1604566
AbstractResourceCollectionWrapper.java,6516,12478091,1147631
AbstractResourceCollectionWrapper.java,6516,15203988,1671475
AbstractResourceCollectionWrapper.java,6516,33745993,2000180
AbstractScriptComponent.java,4451,10485447,1714750
AbstractScriptComponent.java,4451,10660156,982891
AbstractScriptComponent.java,4451,11133979,1637616
AbstractScriptComponent.java,4451,11448444,1523301
AbstractScriptComponent.java,4451,10595151,1603865
AbstractScriptComponent.java,4451,13768358,2000758
AbstractScriptComponent.java,4451,10538067,1084247
AbstractScriptComponent.java,4451,9288944,1083265
AbstractScriptComponent.java,4451,10611439,1119610
AbstractScriptComponent.java,4451,12428053,1683523
AbstractSelectorContainer.java,10393,21958073,3914895
AbstractSelectorContainer.java,10393,24167389,3636675
AbstractSelectorContainer.java,10393,20950671,2870525
AbstractSelectorContainer.java,10393,41612849,3404056
AbstractSelectorContainer.java,10393,21284816,3244672
AbstractSelectorContainer.java,10393,31969691,3416680
AbstractSelectorContainer.java,10393,21933364,3232456
AbstractSelectorContainer.java,10393,20599293,2960361
AbstractSelectorContainer.java,10393,20374658,3497102
AbstractSelectorContainer.java,10393,22439031,2408533
AbstractSshMessage.java,8574,29472647,8412101
AbstractSshMessage.java,8574,41845544,4433132
AbstractSshMessage.java,8574,19427885,3841001
AbstractSshMessage.java,8574,23489737,3356917
AbstractSshMessage.java,8574,30731788,2594266
AbstractSshMessage.java,8574,19728695,2013361
AbstractSshMessage.java,8574,22088374,2100437
AbstractSshMessage.java,8574,21830934,3008141
AbstractSshMessage.java,8574,22258111,3695284
AbstractSshMessage.java,8574,21099778,2889669
AbstractUnicodeExtraField.java,5668,38562273,2400438
AbstractUnicodeExtraField.java,5668,16706053,2286590
AbstractUnicodeExtraField.java,5668,15461261,1705112
AbstractUnicodeExtraField.java,5668,15788889,1770377
