file,bytes,overall,productive
AbstractAccessTask.java,3667,146023255,65302701
AbstractAccessTask.java,3667,19680597,2886601
AbstractAccessTask.java,3667,18165614,2116758
AbstractAccessTask.java,3667,16221176,1680191
AbstractAccessTask.java,3667,21994528,1804431
AbstractAccessTask.java,3667,13871296,706615
AbstractAccessTask.java,3667,14158273,1098219
AbstractAccessTask.java,3667,14168668,522692
AbstractAccessTask.java,3667,12658598,512470
AbstractAccessTask.java,3667,13397004,596209
AbstractAnalyzer.java,10167,31823595,4646138
AbstractAnalyzer.java,10167,44641351,1486606
AbstractAnalyzer.java,10167,26248251,1247265
AbstractAnalyzer.java,10167,27166079,1263747
AbstractAnalyzer.java,10167,24283661,1196786
AbstractAnalyzer.java,10167,31960982,1220720
AbstractAnalyzer.java,10167,26633219,1125267
AbstractAnalyzer.java,10167,102236429,1268843
AbstractAnalyzer.java,10167,36100156,1487659
AbstractAnalyzer.java,10167,44881790,1182421
AbstractClasspathResource.java,8619,51017128,2602558
AbstractClasspathResource.java,8619,29954848,728941
AbstractClasspathResource.java,8619,43577285,1305803
AbstractClasspathResource.java,8619,39243561,1688970
AbstractClasspathResource.java,8619,68140941,1288599
AbstractClasspathResource.java,8619,40475427,1285158
AbstractClasspathResource.java,8619,32947857,1502198
AbstractClasspathResource.java,8619,40374499,1504334
AbstractClasspathResource.java,8619,44910322,1617612
AbstractClasspathResource.java,8619,20006428,1267693
AbstractCvsTask.java,25299,90765289,7149913
AbstractCvsTask.java,25299,58421474,1671960
AbstractCvsTask.java,25299,114970217,1721580
AbstractCvsTask.java,25299,89787770,1753334
AbstractCvsTask.java,25299,106625366,1647884
AbstractCvsTask.java,25299,78934115,3802610
AbstractCvsTask.java,25299,224381082,2247238
AbstractCvsTask.java,25299,141888881,1993618
AbstractCvsTask.java,25299,68444944,1546647
AbstractCvsTask.java,25299,65931693,1581622
AbstractFileSet.java,29242,59489290,1973672
AbstractFileSet.java,29242,88479257,1216997
AbstractFileSet.java,29242,106335799,1156649
AbstractFileSet.java,29242,63083312,1232257
AbstractFileSet.java,29242,85479115,794015
AbstractFileSet.java,29242,82794553,1138726
AbstractFileSet.java,29242,64039981,1052113
AbstractFileSet.java,29242,63293116,900912
AbstractFileSet.java,29242,75623215,1467102
AbstractFileSet.java,29242,97716500,1373081
AbstractHotDeploymentTool.java,6575,13619456,579017
AbstractHotDeploymentTool.java,6575,13259045,292521
AbstractHotDeploymentTool.java,6575,9697985,275510
AbstractHotDeploymentTool.java,6575,8267744,172095
AbstractHotDeploymentTool.java,6575,9183742,148181
AbstractHotDeploymentTool.java,6575,11644178,245955
AbstractHotDeploymentTool.java,6575,8361576,299161
AbstractHotDeploymentTool.java,6575,9800697,230784
AbstractHotDeploymentTool.java,6575,9195992,337501
AbstractHotDeploymentTool.java,6575,10699024,294650
AbstractJarSignerTask.java,11947,40497940,1017728
AbstractJarSignerTask.java,11947,28906003,927645
AbstractJarSignerTask.java,11947,20662317,359689
AbstractJarSignerTask.java,11947,23477411,753723
AbstractJarSignerTask.java,11947,19373266,451940
AbstractJarSignerTask.java,11947,22818271,677840
AbstractJarSignerTask.java,11947,18313799,382805
AbstractJarSignerTask.java,11947,21714988,392679
AbstractJarSignerTask.java,11947,18088067,432106
AbstractJarSignerTask.java,11947,18148431,245120
AbstractResourceCollectionWrapper.java,6516,16223875,666315
AbstractResourceCollectionWrapper.java,6516,11898489,283612
AbstractResourceCollectionWrapper.java,6516,12330183,264742
AbstractResourceCollectionWrapper.java,6516,14213176,337884
AbstractResourceCollectionWrapper.java,6516,12650849,355553
AbstractResourceCollectionWrapper.java,6516,16715669,401283
AbstractResourceCollectionWrapper.java,6516,30503772,294790
AbstractResourceCollectionWrapper.java,6516,15177714,336870
AbstractResourceCollectionWrapper.java,6516,16395858,345852
AbstractResourceCollectionWrapper.java,6516,21228191,289882
AbstractScriptComponent.java,4451,11359934,439435
AbstractScriptComponent.java,4451,13579643,193703
AbstractScriptComponent.java,4451,9014362,198117
AbstractScriptComponent.java,4451,8914716,241215
AbstractScriptComponent.java,4451,10872551,356945
AbstractScriptComponent.java,4451,8728854,186440
AbstractScriptComponent.java,4451,7815726,180670
AbstractScriptComponent.java,4451,12240555,290200
AbstractScriptComponent.java,4451,8705844,360633
AbstractScriptComponent.java,4451,9113052,255287
AbstractSelectorContainer.java,10393,17097538,775510
AbstractSelectorContainer.java,10393,36196893,423495
AbstractSelectorContainer.java,10393,16771672,370620
AbstractSelectorContainer.java,10393,18315312,377815
AbstractSelectorContainer.java,10393,17699477,458970
AbstractSelectorContainer.java,10393,17031413,597158
AbstractSelectorContainer.java,10393,18739555,371295
AbstractSelectorContainer.java,10393,21798685,628090
AbstractSelectorContainer.java,10393,17328488,610448
AbstractSelectorContainer.java,10393,24463162,380713
AbstractSshMessage.java,8574,35282923,1415671
AbstractSshMessage.java,8574,18841104,350686
AbstractSshMessage.java,8574,21589150,543912
AbstractSshMessage.java,8574,19830297,355312
AbstractSshMessage.java,8574,35375056,250436
AbstractSshMessage.java,8574,17368631,330595
AbstractSshMessage.java,8574,19257174,309989
AbstractSshMessage.java,8574,27269653,357829
AbstractSshMessage.java,8574,18422214,351090
AbstractSshMessage.java,8574,40345905,505113
AbstractUnicodeExtraField.java,5668,14033976,610414
AbstractUnicodeExtraField.java,5668,20315439,241448
AbstractUnicodeExtraField.java,5668,17210240,246159
AbstractUnicodeExtraField.java,5668,13006255,242500
AbstractUnicodeExtraField.java,5668,16037643,161403
AbstractUnicodeExtraField.java,5668,14683247,244604
AbstractUnicodeExtraField.java,5668,10261699,239270
AbstractUnicodeExtraField.java,5668,16172655,471965
AbstractUnicodeExtraField.java,5668,13298471,347219
AbstractUnicodeExtraField.java,5668,16686443,276883
AggregateTransformer.java,11471,25308054,545107
AggregateTransformer.java,11471,44455478,495665
AggregateTransformer.java,11471,20601599,770988
AggregateTransformer.java,11471,25285491,403525
AggregateTransformer.java,11471,25487050,591926
AggregateTransformer.java,11471,20895326,691785
AggregateTransformer.java,11471,20389497,497690
AggregateTransformer.java,11471,20697073,912450
AggregateTransformer.java,11471,21117599,439110
AggregateTransformer.java,11471,29127941,356636
Algorithm.java,1557,4177255,156935
Algorithm.java,1557,3514138,100743
Algorithm.java,1557,3101427,118176
Algorithm.java,1557,2970821,94285
Algorithm.java,1557,3219796,101616
Algorithm.java,1557,3838497,149951
Algorithm.java,1557,2783099,99032
Algorithm.java,1557,3096679,87975
Algorithm.java,1557,3280113,133729
Algorithm.java,1557,2793192,87415
AllButFirst.java,2038,5934441,177807
AllButFirst.java,2038,6247226,166019
AllButFirst.java,2038,6968522,157754
AllButFirst.java,2038,7557814,232447
AllButFirst.java,2038,7115956,156003
AllButFirst.java,2038,5866338,134230
AllButFirst.java,2038,6572032,165634
AllButFirst.java,2038,5697005,175665
AllButFirst.java,2038,6668627,148118
AllButFirst.java,2038,7217236,182303
AllButLast.java,1935,4148987,113851
AllButLast.java,1935,9387392,94916
AllButLast.java,1935,4816800,107289
AllButLast.java,1935,5230910,127680
AllButLast.java,1935,6691181,138132
AllButLast.java,1935,5880372,138099
AllButLast.java,1935,5725370,135111
AllButLast.java,1935,5491971,137083
AllButLast.java,1935,5642704,202323
AllButLast.java,1935,5583259,139226
AncestorAnalyzer.java,5381,14736641,425170
AncestorAnalyzer.java,5381,14282552,329768
AncestorAnalyzer.java,5381,18682262,470395
